date,open,close,high,low,volume
2023-08-23,4652.4,4579.47,4652.4,4579.03,571476160.0
2023-08-24,4594.67,4600.32,4636.81,4569.45,629641722.0
2023-08-25,4577.11,4550.02,4593.94,4533.55,642486412.0
2023-08-28,4796.46,4598.06,4796.46,4586.37,968843885.0
2023-08-29,4586.86,4690.31,4704.42,4585.33,863823363.0
2023-08-30,4701.21,4700.68,4729.93,4681.79,780993763.0
2023-08-31,4696.08,4672.31,4700.77,4664.33,675252539.0
2023-09-01,4682.95,4690.29,4708.07,4675.56,614489514.0
2023-09-04,4711.22,4759.88,4759.88,4701.21,745562369.0
2023-09-05,4750.05,4729.16,4752.75,4721.5,643901481.0
2023-09-06,4714.33,4732.82,4737.89,4697.74,605805493.0
2023-09-07,4723.0,4660.31,4723.0,4660.02,623212785.0
2023-09-08,4646.5,4654.75,4670.45,4633.64,537411385.0
2023-09-11,4659.0,4698.91,4719.15,4644.34,649984940.0
2023-09-12,4695.23,4693.46,4711.04,4685.45,549437532.0
2023-09-13,4688.25,4651.33,4695.07,4624.99,574062095.0
2023-09-14,4650.31,4636.86,4656.44,4616.04,568283763.0
2023-09-15,4646.59,4625.13,4659.65,4610.25,591866655.0
2023-09-18,4611.89,4644.68,4656.24,4596.52,562010961.0
2023-09-19,4639.14,4619.89,4639.14,4605.47,538807843.0
2023-09-20,4612.38,4593.03,4617.96,4593.03,489176570.0
2023-09-21,4583.42,4557.44,4601.59,4557.44,493178121.0
2023-09-22,4554.77,4639.86,4640.52,4547.3,609072813.0
2023-09-25,4638.43,4615.13,4638.43,4608.42,571097596.0
